X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
1.2523936,52.1493413,0,0,416,58,2020/12/30 13:25:48+00,69,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2524935,52.1493873,0,0,417,57,2020/12/30 13:25:52+00,62,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2525445,52.1494139,0,0,418,56,2020/12/30 13:25:56+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2525325,52.1494246,0,0,419,55,2020/12/30 13:26:01+00,,,,speed: 0.8,,,,,,,,,,,,,,,,,
1.2524756,52.1493925,0,0,420,55,2020/12/30 13:26:04+00,,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.2524141,52.1493603,0,0,421,57,2020/12/30 13:26:08+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2524441,52.1493695,0,0,422,56,2020/12/30 13:26:12+00,,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2525504,52.1494116,0,0,423,56,2020/12/30 13:26:16+00,,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2525826,52.149464,0,0,424,57,2020/12/30 13:26:20+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.2525733,52.1494908,0,0,425,57,2020/12/30 13:26:24+00,,,,speed: 0.6,,,,,,,,,,,,,,,,,
1.2525525,52.1495485,0,0,426,58,2020/12/30 13:26:28+00,,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.2525696,52.1496066,0,0,427,61,2020/12/30 13:26:32+00,9,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.252692,52.1496493,0,0,428,59,2020/12/30 13:26:37+00,50,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2527666,52.1496658,0,0,429,58,2020/12/30 13:26:40+00,63,,,speed: 1.6,,,,,,,,,,,,,,,,,
1.252891,52.1496958,0,0,430,58,2020/12/30 13:26:45+00,69,,,speed: 2.0,,,,,,,,,,,,,,,,,
1.2529683,52.1497076,0,0,431,58,2020/12/30 13:26:48+00,71,,,speed: 1.7,,,,,,,,,,,,,,,,,
1.2530664,52.1497268,0,0,432,58,2020/12/30 13:26:52+00,77,,,speed: 1.3,,,,,,,,,,,,,,,,,
1.253077,52.1497201,0,0,433,57,2020/12/30 13:26:57+00,,,,speed: 0.2,,,,,,,,,,,,,,,,,
1.2531565,52.1497483,0,0,434,56,2020/12/30 13:27:01+00,70,,,speed: 2.1,,,,,,,,,,,,,,,,,
1.2532523,52.1497658,0,0,435,56,2020/12/30 13:27:04+00,71,,,speed: 2.2,,,,,,,,,,,,,,,,,
1.2533648,52.149788,0,0,436,55,2020/12/30 13:27:09+00,,,,speed: 0.5,,,,,,,,,,,,,,,,,
1.2533811,52.1497811,0,0,437,55,2020/12/30 13:27:13+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
1.2534443,52.149792,0,0,438,55,2020/12/30 13:27:16+00,93,,,speed: 1.9,,,,,,,,,,,,,,,,,
1.2535511,52.1498074,0,0,439,55,2020/12/30 13:27:20+00,78,,,speed: 1.8,,,,,,,,,,,,,,,,,
1.253655,52.1498226,0,0,440,56,2020/12/30 13:27:25+00,,,,speed: 0.0,,,,,,,,,,,,,,,,,
